,Year,Country,Inflation Rate (%),Year,Country,"Foreign direct inflows, net (BoP, current US$)",Year,Country,GDP (current US$),Year,Country,Population ages 15-64 (% of total population),Year,Country,average_wages,Country,Year,automation,Year,Country,robot,Year,Country,unemployment
14,2018,Canada,1.6511181981861967,2018,Canada,42603762048.5971,2018,Canada,1725329192783.024,2018,Canada,66.7549370661802,2018,Canada,40430.399999999994,Canada,2018,282564891503.933,2018,Canada,1695,2018,Canada,5.837
15,2019,Canada,1.5460707543806933,2019,Canada,48942300762.2452,2019,Canada,1743725183672.5212,2019,Canada,66.4551664877988,2019,Canada,40485.479999999996,Canada,2019,284180555198.613,2019,Canada,1711,2019,Canada,5.69
16,2020,Canada,1.0708102680749647,2020,Canada,29123011879.2998,2020,Canada,1655684730000.1936,2020,Canada,66.1132110479891,2020,Canada,42659.399999999994,Canada,2020,270878072517.728,2020,Canada,1468,2020,Canada,9.657
17,2021,Canada,3.42691152775402,2021,Canada,59125104306.8679,2021,Canada,2007472181464.1519,2021,Canada,65.7453482127066,2021,Canada,46543.8,Canada,2021,327681946460.682,2021,Canada,1592,2021,Canada,7.527
18,2022,Canada,7.653819926762267,2022,Canada,49984660121.8887,2022,Canada,2161483369422.0146,2022,Canada,65.3885933304723,2022,Canada,46931.64,Canada,2022,349986203327.289,2022,Canada,1762,2022,Canada,5.279
19,2004,France,1.62267544006134,2004,France,35608535812.8719,2004,France,2119633181634.3684,2004,France,65.0686181530786,2004,France,29745.120000000003,France,2004,321911183128.147,2004,France,1092,2004,France,8.914
20,2005,France,1.9363414190136723,2005,France,85137061931.2536,2005,France,2196945232435.7966,2005,France,65.0763828528766,2005,France,37561.56,France,2005,323494005869.771,2005,France,1095,2005,France,8.882
21,2006,France,2.155327391,2006,France,78957053786.1349,2006,France,2320536221304.7026,2006,France,65.1213501829884,2006,France,38918.520000000004,France,2006,328364812156.781,2006,France,1108,2006,France,8.832
22,2007,France,2.5566370154461993,2007,France,83777598395.4499,2007,France,2660591246211.7734,2007,France,65.1260218685905,2007,France,26871.600000000002,France,2007,364830712904.826,2007,France,1102,2007,France,8.008
23,2008,France,2.3670738404367455,2008,France,67997446904.9733,2008,France,2930303780828.1245,2008,France,65.0333130490462,2008,France,29597.399999999998,France,2008,382726935241.921,2008,France,1161,2008,France,7.386
24,2009,France,0.06662747604960373,2009,France,18422928061.9131,2009,France,2700887366932.0293,2009,France,64.8765335310917,2009,France,28742.159999999996,France,2009,341245073196.421,2009,France,1224,2009,France,9.122
25,2010,France,1.0696974762121556,2010,France,38889439213.3126,2010,France,2645187882116.672,2010,France,64.7147140919401,2010,France,34999.92,France,2010,328404288177.187,2010,France,1323,2010,France,9.279
26,2011,France,0.9479602253829711,2011,France,44205811126.5792,2011,France,2865157541994.169,2011,France,64.4205257361822,2011,France,46552.56,France,2011,359242528227.101,2011,France,1279,2011,France,9.228
27,2012,France,1.1618250317351908,2012,France,32944663317.8722,2012,France,2683671716967.188,2012,France,63.9724741868208,2012,France,44386.92,France,2012,338708939044.924,2012,France,1197,2012,France,9.841
28,2013,France,0.7781005311440623,2013,France,31589283790.5549,2013,France,2811876903329.0273,2013,France,63.5193513304928,2013,France,46298.159999999996,France,2013,356591284383.309,2013,France,1123,2013,France,9.913
29,2014,France,0.576944232991778,2014,France,5804878132.66635,2014,France,2855964488590.186,2014,France,63.0869853477102,2014,France,39432.840000000004,France,2014,360049002621.143,2014,France,1075,2014,France,10.273
30,2015,France,1.138248785332351,2015,France,42825414105.9409,2015,France,2439188643162.4985,2015,France,62.7080024376832,2015,France,39432.840000000004,France,2015,311417078901.848,2015,France,1321,2015,France,10.354
31,2016,France,0.5225593434004452,2016,France,32803666728.594,2016,France,2472964344587.1655,2016,France,62.3983313715085,2016,France,39423.479999999996,France,2016,310982384763.524,2016,France,1285,2016,France,10.057
32,2017,France,0.5215772633056872,2017,France,35868111746.0373,2017,France,2595151045197.6514,2017,France,62.1154391215783,2017,France,41807.28,France,2017,319625213983.53,2017,France,1245,2017,France,9.409
33,2018,France,0.9922245663778,2018,France,77493098693.2378,2018,France,2790956878746.6646,2018,France,61.8543554087466,2018,France,44455.8,France,2018,341092729157.647,2018,France,1495,2018,France,9.018
34,2019,France,1.278592146329487,2019,France,53499337503.7413,2019,France,2728870246705.878,2019,France,61.62198652,2019,France,42759.479999999996,France,2019,336553219254.901,2019,France,1901,2019,France,8.415
35,2020,France,2.839876195512076,2020,France,19368829836.4655,2020,France,2647418691598.4507,2020,France,61.4383009269549,2020,France,27625.800000000003,France,2020,316213566174.32,2020,France,1802,2020,France,8.009
36,2021,France,1.4239482698479264,2021,France,95864839855.8147,2021,France,2959355819170.495,2021,France,61.3033694085631,2021,France,54741.72,France,2021,338670591348.832,2021,France,909,2021,France,7.874
37,2022,France,2.947216929114063,2022,France,105424958013.771,2022,France,2779092236505.847,2022,France,61.142578102636,2022,France,50016.96,France,2022,329163830877.615,2022,France,1247,2022,France,7.308
38,2004,Germany,1.1155958666263928,2004,Germany,-20408419557.1429,2004,Germany,2814353869359.0806,2004,Germany,66.9508194336933,2004,Germany,33186.168000000005,Germany,2004,638568847665.344,2004,Germany,1156,2004,Germany,10.727
39,2005,Germany,0.4052073318516136,2005,Germany,59835195025.1917,2005,Germany,2846864211175.096,2005,Germany,66.6050547991774,2005,Germany,38268.828,Germany,2005,649871909665.224,2005,Germany,1170,2005,Germany,11.193
40,2006,Germany,0.3972811548939035,2006,Germany,87444159239.0628,2006,Germany,2994703642023.5254,2006,Germany,66.2823143315268,2006,Germany,31410.168,Germany,2006,702700171132.454,2006,Germany,1174,2006,Germany,10.277
41,2007,Germany,1.7702732069408142,2007,Germany,50847183837.0148,2007,Germany,3425578382921.5796,2007,Germany,66.083076112059,2007,Germany,38867.436,Germany,2007,811770542847.855,2007,Germany,1176,2007,Germany,8.732
42,2008,Germany,0.9093304223015224,2008,Germany,30954735498.025,2008,Germany,3745264093617.1865,2008,Germany,65.9864245729756,2008,Germany,42462.12,Germany,2008,867398469945.571,2008,Germany,1145,2008,Germany,7.508
43,2009,Germany,1.841891637763183,2009,Germany,56701916794.97,2009,Germany,3411261212652.3413,2009,Germany,65.89371247,2009,Germany,41286.72,Germany,2009,713559405692.061,2009,Germany,1190,2009,Germany,7.88
44,2010,Germany,0.6452757711218169,2010,Germany,86037502102.1645,2010,Germany,3399667820000.0063,2010,Germany,65.94818524025,2010,Germany,38978.868,Germany,2010,779539017443.724,2010,Germany,1241,2010,Germany,7.043
45,2011,Germany,1.0694837453494301,2011,Germany,97535403952.5493,2011,Germany,3749310000000.0,2011,Germany,66.1038651577438,2011,Germany,41532.12,Germany,2011,866257661806.934,2011,Germany,1282,2011,Germany,5.967
46,2012,Germany,1.4964888377983385,2012,Germany,65443087632.2705,2012,Germany,3527143188785.157,2012,Germany,66.1768560547906,2012,Germany,39429.600000000006,Germany,2012,820561801922.395,2012,Germany,1280,2012,Germany,5.372
47,2013,Germany,1.9593916830244353,2013,Germany,67199694458.9368,2013,Germany,3733800000000.0,2013,Germany,66.1650570931529,2013,Germany,41976.479999999996,Germany,2013,850719230997.745,2013,Germany,1294,2013,Germany,5.316
48,2014,Germany,1.8779398537491119,2014,Germany,19532082849.0843,2014,Germany,3889093051023.5156,2014,Germany,66.044877873583,2014,Germany,42655.692,Germany,2014,890430716575.161,2014,Germany,1310,2014,Germany,4.979
49,2015,Germany,1.8536788240880213,2015,Germany,62475577277.7991,2015,Germany,3357585719351.5605,2015,Germany,65.8448584682172,2015,Germany,36989.04,Germany,2015,771338199460.714,2015,Germany,1313,2015,Germany,4.612
50,2016,Germany,1.3277522226954517,2016,Germany,64744235790.2129,2016,Germany,3469853463945.5337,2016,Germany,65.5946968485817,2016,Germany,37322.76,Germany,2016,809319214905.746,2016,Germany,1312,2016,Germany,4.104
51,2017,Germany,1.50373898915133,2017,Germany,109485971372.509,2017,Germany,3690849152517.6533,2017,Germany,65.2979434373687,2017,Germany,38639.64,Germany,2017,857703655148.237,2017,Germany,1353,2017,Germany,3.781
52,2018,Germany,2.0074924413161312,2018,Germany,166915563991.374,2018,Germany,3974443355019.605,2018,Germany,64.9792318923014,2018,Germany,41688.24,Germany,2018,910439165015.686,2018,Germany,1801,2018,Germany,3.384
53,2019,Germany,2.130309051482726,2019,Germany,73974461220.6158,2019,Germany,3889177589254.8955,2019,Germany,64.6307203669172,2019,Germany,41304.0,Germany,2019,876514956941.175,2019,Germany,1856,2019,Germany,3.163
54,2020,Germany,1.8725856480559173,2020,Germany,176867343557.223,2020,Germany,3887727161914.4077,2020,Germany,64.2847166479732,2020,Germany,62275.44,Germany,2020,846253097120.625,2020,Germany,1611,2020,Germany,3.881
55,2021,Germany,3.019638073752674,2021,Germany,102155425721.645,2021,Germany,4278503934689.8535,2021,Germany,63.9564500545325,2021,Germany,61335.36,Germany,2021,953294603624.016,2021,Germany,1733,2021,Germany,3.594
56,2022,Germany,5.268325423701526,2022,Germany,62728998895.9956,2022,Germany,4082469490797.681,2022,Germany,63.6285982930303,2022,Germany,55766.759999999995,Germany,2022,885298399209.394,2022,Germany,1769,2022,Germany,3.12
57,2004,Italy,2.67018368106109,2004,Italy,20100742901.8037,2004,Italy,1806542968545.5645,2004,Italy,66.4694834716804,2004,Italy,37272.72,Italy,2004,329161808620.936,2004,Italy,1252,2004,Italy,7.866
58,2005,Italy,2.0105579008358205,2005,Italy,36762073074.939,2005,Italy,1858217147203.7346,2005,Italy,66.1674296350735,2005,Italy,32815.2,Italy,2005,333265806098.592,2005,Italy,1257,2005,Italy,7.73
59,2006,Italy,2.124853914647545,2006,Italy,56995485107.0101,2006,Italy,1949551719389.6443,2006,Italy,65.9023334336188,2006,Italy,37272.72,Italy,2006,351362003159.208,2006,Italy,1260,2006,Italy,6.777
60,2007,Italy,2.478994765861515,2007,Italy,65975535145.4856,2007,Italy,2213102482751.458,2007,Italy,65.7716758849635,2007,Italy,44815.2,Italy,2007,406103710800.5,2007,Italy,1262,2007,Italy,6.076
61,2008,Italy,2.4007034444019695,2008,Italy,-9501579210.46569,2008,Italy,2408660000000.0,2008,Italy,65.6995405182864,2008,Italy,49272.03599999999,Italy,2008,434854543624.204,2008,Italy,1250,2008,Italy,6.723
62,2009,Italy,1.6788389598229685,2009,Italy,16607196344.8457,2009,Italy,2199928804118.6313,2009,Italy,65.5924975103186,2009,Italy,47698.8,Italy,2009,360724727775.962,2009,Italy,1265,2009,Italy,7.749
63,2010,Italy,0.4363605375416739,2010,Italy,9930501390.90892,2010,Italy,2136099955236.671,2010,Italy,65.5063583988954,2010,Italy,46451.952000000005,Italy,2010,358611761175.837,2010,Italy,1247,2010,Italy,8.363
64,2011,Italy,1.6071769834934457,2011,Italy,34465481829.5317,2011,Italy,2294994296589.4985,2011,Italy,65.309693591446,2011,Italy,49312.296,Italy,2011,383651886345.921,2011,Italy,1205,2011,Italy,8.359
65,2012,Italy,1.547301440377339,2012,Italy,34901033.0149755,2012,Italy,2086957656821.602,2012,Italy,65.0040628328436,2012,Italy,45323.712,Italy,2012,347181063173.955,2012,Italy,1090,2012,Italy,10.655
66,2013,Italy,1.147610158919548,2013,Italy,19531411961.8185,2013,Italy,2141924094298.5552,2013,Italy,64.7227715661634,2013,Italy,47626.979999999996,Italy,2013,358644104075.698,2013,Italy,1075,2013,Italy,12.149
67,2014,Italy,0.9132412619814687,2014,Italy,17032744039.0433,2014,Italy,2162009615996.5415,2014,Italy,64.4531677550101,2014,Italy,47817.659999999996,Italy,2014,361950212071.936,2014,Italy,1057,2014,Italy,12.683
68,2015,Italy,0.931863574759717,2015,Italy,13303439230.2377,2015,Italy,1836637711060.546,2015,Italy,64.2570947847012,2015,Italy,40237.068,Italy,2015,311231421123.107,2015,Italy,930,2015,Italy,11.896
69,2016,Italy,1.134350020372537,2016,Italy,25656663794.7916,2016,Italy,1877071687633.7788,2016,Italy,64.1303906036509,2016,Italy,40958.195999999996,Italy,2016,325634470274.882,2016,Italy,913,2016,Italy,11.688
70,2017,Italy,0.7263432209578156,2017,Italy,11138429977.1854,2017,Italy,1961796197354.3564,2017,Italy,64.0449178481873,2017,Italy,41238.876,Italy,2017,343215555214.942,2017,Italy,1103,2017,Italy,11.211
71,2018,Italy,1.068132046869465,2018,Italy,44249715319.1484,2018,Italy,2091932426266.979,2018,Italy,63.98181565,2018,Italy,42694.224,Italy,2018,369602033883.372,2018,Italy,1119,2018,Italy,10.61
72,2019,Italy,0.938114135013862,2019,Italy,35760550299.4853,2019,Italy,2011302198827.4478,2019,Italy,63.8781985621066,2019,Italy,40395.912,Italy,2019,355232211188.235,2019,Italy,1125,2019,Italy,9.951
73,2020,Italy,1.5791714570605677,2020,Italy,-17050399620.8673,2020,Italy,1897461635591.9119,2020,Italy,63.7699228420107,2020,Italy,43735.608,Italy,2020,333309843313.464,2020,Italy,945,2020,Italy,9.164
74,2021,Italy,1.2778607924374086,2021,Italy,24902365870.5628,2021,Italy,2155360298998.0273,2021,Italy,63.6677831104906,2021,Italy,43683.288,Italy,2021,385399123437.591,2021,Italy,799,2021,Italy,9.497
75,2022,Italy,2.976400562288717,2022,Italy,62728326243.5608,2022,Italy,2049737165407.9846,2022,Italy,63.5161719486847,2022,Italy,39378.096,Italy,2022,369248989483.846,2022,Italy,901,2022,Italy,8.069
76,2004,Japan,-1.124766399852433,2004,Japan,7527948175.22325,2004,Japan,4893116005656.559,2004,Japan,66.1878167697822,2004,Japan,24601.92,Japan,2004,1190811910580.76,2004,Japan,1776,2004,Japan,4.734
77,2005,Japan,-1.1940176805642722,2005,Japan,5459618342.94079,2005,Japan,4831467035389.8,2005,Japan,65.7507443385058,2005,Japan,27235.199999999997,Japan,2005,1182146743534.98,2005,Japan,1788,2005,Japan,4.446
78,2006,Japan,-0.8620183892280266,2006,Japan,-2396909736.30508,2006,Japan,4601663122649.921,2006,Japan,65.19293,2006,Japan,29868.48,Japan,2006,1118266291831.16,2006,Japan,1792,2006,Japan,4.192
79,2007,Japan,-0.7052435474997907,2007,Japan,21631204435.6847,2007,Japan,4579750920354.809,2007,Japan,64.5953520333424,2007,Japan,32501.760000000002,Japan,2007,1125522104839.95,2007,Japan,1806,2007,Japan,3.888
80,2008,Japan,-0.9115302882851637,2008,Japan,24624845329.5648,2008,Japan,5106679115127.299,2008,Japan,64.0285880361327,2008,Japan,35135.04,Japan,2008,1219045248409.4,2008,Japan,1783,2008,Japan,4.002
81,2009,Japan,-0.5695649246243448,2009,Japan,12226471578.7439,2009,Japan,5289493117993.89,2009,Japan,63.5359435632302,2009,Japan,37768.44,Japan,2009,1167684043758.45,2009,Japan,1775,2009,Japan,5.068
82,2010,Japan,-1.8807419499391642,2010,Japan,7440979284.16286,2010,Japan,5759071769013.113,2010,Japan,63.1990719425471,2010,Japan,40492.2,Japan,2010,1364578156439.62,2010,Japan,1850,2010,Japan,5.102
83,2011,Japan,-1.6220802500926652,2011,Japan,-850717035.068239,2011,Japan,6233147172341.349,2011,Japan,62.9144301674804,2011,Japan,44627.64,Japan,2011,1368481121455.81,2011,Japan,1800,2011,Japan,4.55
84,2012,Japan,-0.7560931195551603,2012,Japan,546962692.190728,2012,Japan,6272362996105.034,2012,Japan,62.347023819708,2012,Japan,44772.24,Japan,2012,1372241823007.1,2012,Japan,1781,2012,Japan,4.358
85,2013,Japan,-0.3543750543302764,2013,Japan,10648441636.2071,2013,Japan,5212328181166.185,2013,Japan,61.5163294295932,2013,Japan,36358.2,Japan,2013,1129371961265.36,2013,Japan,1734,2013,Japan,4.038
86,2014,Japan,1.6862947862667426,2014,Japan,19752249424.0,2014,Japan,4896994405353.292,2014,Japan,60.6790803827851,2014,Japan,33934.68,Japan,2014,1088200842691.57,2014,Japan,1625,2014,Japan,3.589
87,2015,Japan,2.1112989932749997,2015,Japan,5252218412.39172,2015,Japan,4444930651964.18,2015,Japan,59.9983176547711,2015,Japan,30088.199999999997,Japan,2015,1040074462895.44,2015,Japan,1487,2015,Japan,3.385
88,2016,Japan,0.4199443760572734,2016,Japan,40954181468.5533,2016,Japan,5003677627544.24,2016,Japan,59.5089943621879,2016,Japan,33487.44,Japan,2016,1163402206812.33,2016,Japan,1453,2016,Japan,3.132
89,2017,Japan,-0.07434950372906712,2017,Japan,18802251208.1069,2017,Japan,4930837369151.422,2017,Japan,59.1349638273284,2017,Japan,32501.760000000002,Japan,2017,1155588475718.27,2017,Japan,1383,2017,Japan,2.822
90,2018,Japan,-0.00023750638760589027,2018,Japan,25289367857.8518,2018,Japan,5040880939324.859,2018,Japan,58.857734182426,2018,Japan,33177.840000000004,Japan,2018,1190444803205.56,2018,Japan,1737,2018,Japan,2.467
91,2019,Japan,0.63480316569607,2019,Japan,39960544340.0141,2019,Japan,5117993853016.508,2019,Japan,58.64814,2019,Japan,33685.08,Japan,2019,1195005038529.97,2019,Japan,1885,2019,Japan,2.351
92,2020,Japan,0.9414497007943083,2020,Japan,62584719398.0912,2020,Japan,5055587093501.588,2020,Japan,58.501114304099,2020,Japan,34581.24,Japan,2020,1175277836176.06,2020,Japan,1569,2020,Japan,2.809
93,2021,Japan,-0.1900606248612604,2021,Japan,35204421198.8925,2021,Japan,5034620784584.983,2021,Japan,58.4389436662632,2021,Japan,33609.600000000006,Japan,2021,1166622831072.6,2021,Japan,1720,2021,Japan,2.808
94,2022,Japan,0.3339798772217648,2022,Japan,49278835164.4328,2022,Japan,4256410760723.75,2022,Japan,58.4527111578275,2022,Japan,32637.96,Japan,2022,986578241155.153,2022,Japan,2133,2022,Japan,2.6
95,2004,United Kingdom,2.620096380675193,2004,United Kingdom,87059621382.2839,2004,United Kingdom,2421525082387.404,2004,United Kingdom,65.9197814022155,2004,United Kingdom,48184.08,United Kingdom,2004,354606539968.509,2004,United Kingdom,575,2004,United Kingdom,4.594
96,2005,United Kingdom,2.935328139921296,2005,United Kingdom,252653397148.111,2005,United Kingdom,2543180000000.0,2005,United Kingdom,66.0869482557652,2005,United Kingdom,48880.2,United Kingdom,2005,367268385661.775,2005,United Kingdom,580,2005,United Kingdom,4.835
97,2006,United Kingdom,2.7868336449573547,2006,United Kingdom,203636431868.244,2006,United Kingdom,2708441582336.7065,2006,United Kingdom,66.2566233633808,2006,United Kingdom,51178.44,United Kingdom,2006,387935919924.438,2006,United Kingdom,582,2006,United Kingdom,5.411
98,2007,United Kingdom,2.2525153793569785,2007,United Kingdom,209514959646.908,2007,United Kingdom,3090510204081.6323,2007,United Kingdom,66.3423017075424,2007,United Kingdom,57205.31999999999,United Kingdom,2007,426866935900.728,2007,United Kingdom,585,2007,United Kingdom,5.342
99,2008,United Kingdom,3.403280075316516,2008,United Kingdom,253000000000.0,2008,United Kingdom,2929411764705.8823,2008,United Kingdom,66.312100677478,2008,United Kingdom,40078.68,United Kingdom,2008,414428284843.039,2008,United Kingdom,584,2008,United Kingdom,5.705
100,2009,United Kingdom,1.8911119347340417,2009,United Kingdom,14547108445.0914,2009,United Kingdom,2412840006231.5,2009,United Kingdom,66.1962302736544,2009,United Kingdom,39070.32,United Kingdom,2009,327372945400.494,2009,United Kingdom,605,2009,United Kingdom,7.627
101,2010,United Kingdom,1.5837413266822438,2010,United Kingdom,66734551294.0913,2010,United Kingdom,2485482596184.7095,2010,United Kingdom,66.0291771490867,2010,United Kingdom,39290.520000000004,United Kingdom,2010,341073925665.755,2010,United Kingdom,629,2010,United Kingdom,7.924
102,2011,United Kingdom,2.1891847208401742,2011,United Kingdom,27012050072.0,2011,United Kingdom,2663805834828.0723,2011,United Kingdom,65.7729298770563,2011,United Kingdom,40702.32,United Kingdom,2011,357823086090.872,2011,United Kingdom,654,2011,United Kingdom,8.169
103,2012,United Kingdom,1.538803627712241,2012,United Kingdom,46750789727.7264,2012,United Kingdom,2707089726614.636,2012,United Kingdom,65.4050644201067,2012,United Kingdom,40376.159999999996,United Kingdom,2012,364901822559.749,2012,United Kingdom,719,2012,United Kingdom,8.25
104,2013,United Kingdom,2.1170639750210256,2013,United Kingdom,54473175400.2415,2013,United Kingdom,2784853502534.292,2013,United Kingdom,65.0427822197394,2013,United Kingdom,40934.159999999996,United Kingdom,2013,378800896100.268,2013,United Kingdom,736,2013,United Kingdom,7.704
105,2014,United Kingdom,1.3177782136091878,2014,United Kingdom,58890445252.714,2014,United Kingdom,3064708247921.4277,2014,United Kingdom,64.7463351681576,2014,United Kingdom,40934.159999999996,United Kingdom,2014,400753870189.037,2014,United Kingdom,765,2014,United Kingdom,6.363
106,2015,United Kingdom,0.6609905214135239,2015,United Kingdom,45333483122.0899,2015,United Kingdom,2927911140916.7314,2015,United Kingdom,64.4801151299842,2015,United Kingdom,40479.96,United Kingdom,2015,369468597346.061,2015,United Kingdom,702,2015,United Kingdom,5.517
107,2016,United Kingdom,1.9647982740778502,2016,United Kingdom,324813224213.021,2016,United Kingdom,2689106566899.611,2016,United Kingdom,64.2256509358444,2016,United Kingdom,36957.479999999996,United Kingdom,2016,327208645936.191,2016,United Kingdom,694,2016,United Kingdom,4.867
108,2017,United Kingdom,1.8565410466793537,2017,United Kingdom,125358809934.121,2017,United Kingdom,2680148052335.299,2017,United Kingdom,63.9804670881907,2017,United Kingdom,36155.520000000004,United Kingdom,2017,329215115393.757,2017,United Kingdom,693,2017,United Kingdom,4.452
109,2018,United Kingdom,1.9220523935836553,2018,United Kingdom,-25055440306.9073,2018,United Kingdom,2871340347581.7856,2018,United Kingdom,63.7695116057054,2018,United Kingdom,38600.159999999996,United Kingdom,2018,353662612160.543,2018,United Kingdom,824,2018,United Kingdom,4.12
110,2019,United Kingdom,2.1157327429386754,2019,United Kingdom,19790761929.1277,2019,United Kingdom,2851407164907.808,2019,United Kingdom,63.5952093617214,2019,United Kingdom,38016.72,United Kingdom,2019,347596783131.18,2019,United Kingdom,842,2019,United Kingdom,3.613
111,2020,United Kingdom,5.083623429060765,2020,United Kingdom,157185559299.99,2020,United Kingdom,2697806592293.8604,2020,United Kingdom,63.4891380150104,2020,United Kingdom,37707.72,United Kingdom,2020,331187359221.221,2020,United Kingdom,835,2020,United Kingdom,4.471
112,2021,United Kingdom,-0.12042708549165582,2021,United Kingdom,5922252759.15616,2021,United Kingdom,3141506156618.7026,2021,United Kingdom,63.4226913215275,2021,United Kingdom,42799.2,United Kingdom,2021,356943354092.324,2021,United Kingdom,884,2021,United Kingdom,4.826
113,2022,United Kingdom,5.15290229876841,2022,United Kingdom,44897919400.6377,2022,United Kingdom,3089072722400.1357,2022,United Kingdom,63.3633950575328,2022,United Kingdom,39950.28,United Kingdom,2022,335582921480.96,2022,United Kingdom,909,2022,United Kingdom,3.73
114,2004,United States,2.684408041518253,2004,United States,213641000000.0,2004,United States,12217193198000.0,2004,United States,66.8797268827437,2004,United States,35357.88,United States of America,2004,2005200000000.0,2004,United States,1158,2004,United States,5.529
115,2005,United States,3.135824066720133,2005,United States,142344000000.0,2005,United States,13039199193000.0,2005,United States,67.0289150141386,2005,United States,36352.92,United States of America,2005,2149400000000.0,2005,United States,1162,2005,United States,5.084
116,2006,United States,3.085582931634505,2006,United States,298463000000.0,2006,United States,13815586948000.0,2006,United States,67.1584370080472,2006,United States,37565.159999999996,United States of America,2006,2325000000000.0,2006,United States,1165,2006,United States,4.623
117,2007,United States,2.702526568861515,2007,United States,346613000000.0,2007,United States,14474226905000.0,2007,United States,67.2269849676012,2007,United States,38684.520000000004,United States of America,2007,2427300000000.0,2007,United States,1170,2007,United States,4.622
118,2008,United States,1.9179329778406213,2008,United States,341092000000.0,2008,United States,14769857911000.0,2008,United States,67.1934316799714,2008,United States,40078.68,United States of America,2008,2473200000000.0,2008,United States,1166,2008,United States,5.784
119,2009,United States,0.6409547326727818,2009,United States,161083000000.0,2009,United States,14478064934000.0,2009,United States,67.1369470770614,2009,United States,40256.399999999994,United States of America,2009,2272400000000.0,2009,United States,1168,2009,United States,9.254
120,2010,United States,1.2017916253887222,2010,United States,264039000000.0,2010,United States,15048964444000.0,2010,United States,67.104935684999,2010,United States,40668.24,United States of America,2010,2433100000000.0,2010,United States,1171,2010,United States,9.633
121,2011,United States,2.0777138203681034,2011,United States,263497000000.0,2011,United States,15599728123000.0,2011,United States,66.9859910889154,2011,United States,41203.2,United States of America,2011,2562200000000.0,2011,United States,1176,2011,United States,8.949
122,2012,United States,1.8705955293703909,2012,United States,250345000000.0,2012,United States,16253972230000.0,2012,United States,66.7733301513686,2012,United States,42147.96,United States of America,2012,2618700000000.0,2012,United States,1162,2012,United States,8.069
